"","Person's Residence in County","total_vacc"
"1","Alcona",5229
"2","Alger",5027
"3","Allegan",51773
"4","Alpena",13573
"5","Antrim",11905
"6","Arenac",6773
"7","Baraga",3145
"8","Barry",25836
"9","Bay",51817
"10","Benzie",9899
"11","Berrien",68851
"12","Branch",15536
"13","Calhoun",55497
"14","Cass",16465
"15","Charlevoix",14456
"16","Cheboygan",12208
"17","Chippewa",17610
"18","Clare",12396
"19","Clinton",41183
"20","Crawford",6511
"21","Delta",16031
"22","Detroit",212110
"23","Dickinson",10759
"24","Eaton",54916
"25","Emmet",19360
"26","Genesee",172788
"27","Gladwin",10862
"28","Gogebic",5967
"29","Grand Traverse",54427
"30","Gratiot",15968
"31","Hillsdale",14946
"32","Houghton",15376
"33","Huron",14636
"34","Ingham",145597
"35","Ionia",26145
"36","Iosco",12350
"37","Iron",4828
"38","Isabella",27376
"39","Jackson",71542
"40","Kalamazoo",137392
"41","Kalkaska",7412
"42","Kent",340393
"43","Keweenaw",1077
"44","Lake",5991
"45","Lapeer",35204
"46","Leelanau",14405
"47","Lenawee",39866
"48","Livingston",96566
"49","Luce",2422
"50","Mackinac",5921
"51","Macomb",419583
"52","Manistee",12857
"53","Marquette",36070
"54","Mason",15347
"55","Mecosta",15909
"56","Menominee",6125
"57","Midland",43514
"58","Missaukee",6265
"59","Monroe",55815
"60","Montcalm",23135
"61","Montmorency",4461
"62","Muskegon",79962
"63","Newaygo",18435
"64","No County",13092
"65","Non-Michigan Resident",45574
"66","Oakland",727870
"67","Oceana",12008
"68","Ogemaw",8154
"69","Ontonagon",2921
"70","Osceola",8361
"71","Oscoda",3140
"72","Otsego",11517
"73","Ottawa",142769
"74","Presque Isle",6784
"75","Roscommon",11582
"76","Saginaw",86997
"77","Sanilac",15204
"78","Schoolcraft",3772
"79","Shiawassee",30388
"80","St. Clair",67616
"81","St. Joseph",22053
"82","Tuscola",20971
"83","Van Buren",34890
"84","Washtenaw",213389
"85","Wayne",579703
"86","Wexford",14917
